,V0,V0_uncert
yellow,1.6032576204276074,0.06657925883835068
red,1.5293895956920194,0.04829318508197206
green2,1.9311690202658827,0.13297807975316323
blue2,2.4460930189289796,0.12656376934277871
blue1,2.183262403813101,0.12270772864201587
orange,1.6168443590788446,0.11812272215182432
green1,1.6078492202476826,0.08657405956247985
